location,violent-crime-in-public-spaces,neighborhood-safety,violent-crime,bullying,school-fights,school-safety,food-access,income-diversity,food-stamps-snap,median-household-income,per-capita-income,child-poverty,household-poverty,individual-poverty,early-childhood-education,high-school-graduation,college-graduation-or-more,no-high-school-graduation,school-attendance,suspensions,limited-english-proficiency,single-parent-households,grandparents-raising-grandchildren,seniors-living-alone,foreign-born,unemployment
washington-heights,,,,,,,22.9,59.9,25.8,,,24.1,15.4,16.3,,89.2644344845769,,10.7355655154231,,,0.665282264267036,13.619618987475,,,1.40876235432955,19.7
washington-park,,,,,,,10.1,47.6,55.5,,,61.2,44.6,48.8,,80.6875792141952,,19.3124207858048,,,0.72050154393188,32.4031365313653,,,1.19195430841818,31.8
west-elsdon,,,,,,,3.4,57.2,20.1,,,25.7,17.5,18.9,,70.5802603036876,,29.4197396963124,,,31.2672480406226,13.8134592680047,,,39.8290954564402,14.8
west-englewood,,,,,,,44.2,49.4,42.7,,,53.0,34.4,38.5,,76.220300228651,,23.779699771349,,,2.16469016201771,19.7352216748768,,,2.63092424430899,34.8
west-garfield-park,,,,,,,22.7,48.0,53.7,,,62.6,43.6,47.4,,72.408642835806,,27.591357164194,,,0.745660755686447,26.5584173198955,,,0.902272599109006,17.8
west-lawn,,,,,,,9.0,57.6,18.8,,,21.4,13.6,14.8,,67.4173794220355,,32.5826205779645,,,30.2041881401266,13.0813312761737,,,36.358362087392,13.5
west-pullman,,,,,,,25.3,59.5,33.0,,,52.6,26.4,32.0,,83.6786914856254,,16.3213085143746,,,2.95093062605753,16.3167481545394,,,2.71832327723087,24.8
west-ridge,,,,,,,3.4,63.1,20.1,,,32.4,19.1,22.1,,82.7902261394906,,17.2097738605094,,,26.3884097964815,7.59239531262804,,,44.1747102242041,8.8
west-town,,,,,,,3.4,65.9,10.8,,,24.5,13.3,15.6,,88.6569111753192,,11.3430888246808,,,13.527764874264,6.27983053574302,,,15.7953775326587,6.3
woodlawn,,,,,,,16.4,55.2,41.1,,,53.6,35.5,40.1,,83.6142079336272,,16.3857920663728,,,1.89664314557246,18.8089282278237,,,5.2597746351055,22.4
