location,violent-crime-in-public-spaces,neighborhood-safety,violent-crime,bullying,school-fights,school-safety,food-access,income-diversity,food-stamps-snap,median-household-income,per-capita-income,child-poverty,household-poverty,individual-poverty,early-childhood-education,high-school-graduation,college-graduation-or-more,no-high-school-graduation,school-attendance,suspensions,limited-english-proficiency,single-parent-households,grandparents-raising-grandchildren,seniors-living-alone,foreign-born,unemployment
uptown,111,,2511,,,,680,,5676,44596,38101,1731,6800,12928,,40086,,4784,,,7459,1304,64,2954,12787,3472
washington-heights,172,,1910,,,,6076,,2456,47044,21376,1222,1462,4375,,16929,,2036,,,173,1294,521,1198,382,2594
washington-park,188,,1761,,,,1183,,2408,24818,13367,2665,1934,5837,,5093,,1219,,,77,1405,191,475,144,1578
west-elsdon,30,,499,,,,621,,1021,45500,15959,1408,887,3608,,7809,,3255,,,5665,702,103,422,7644,1369
west-englewood,493,,4829,,,,15680,,4161,26103,12551,4346,3355,12289,,15334,,4784,,,648,1923,532,1388,846,4622
west-garfield-park,273,,2502,,,,4085,,2875,25071,11754,3500,2335,8327,,7272,,2771,,,119,1423,350,500,160,1016
west-lawn,82,,854,,,,3004,,1707,49668,17935,2042,1234,4851,,13321,,6438,,,9260,1187,148,803,11907,2211
west-pullman,354,,2795,,,,8390,,3440,39489,17223,4161,2751,10034,,16678,,3253,,,872,1702,484,1192,856,3475
west-ridge,85,,2018,,,,2414,,4905,47186,25123,5793,4653,15690,,40015,,8318,,,17595,1853,219,2378,31899,3190
west-town,282,,3515,,,,2732,,4040,73750,47128,3384,4971,13286,,57072,,7302,,,10775,2342,426,1726,13518,3722
woodlawn,260,,2987,,,,4258,,4268,24545,16526,3797,3689,10062,,12900,,2528,,,465,1955,460,1573,1391,2382
