location,diabetes-related-lower-extremity-amputation-hospitalizations,female-breast-cancer-incidence,colorectal-cancer-incidence,prostate-cancer-incidence,lung-cancer-incidence,lung-cancer-incidence,late-stage-female-breast-cancer-incidence,child-obesity,asthma,diabetes,hypertension,diabetes-related-hospitalizations,adult-obesity,asthma-ed-visits-(0-4-years),asthma-ed-visits-(0-18-years),asthma-ed-visits-(65+-years),cancer-incidence,cervical-cancer-incidence,schizophrenic-disorder-hospitalizations,serious-psychological-distress,youth-depression,youth-suicide-attempts,drug-related-hospitalizations,alcohol-related-hospitalizations,behavioral-health-hospitalizations,behavioral-health-treatment,mood-and-depressive-disorder-hospitalizations,crude-birth-rate,general-fertility-rate,total-fertility-rate,twin-birth-rate,very-low-birthweight,lead-poisoning,very-low-birthweight,cesarean-delivery,mean-age-at-first-birth,preterm-births,hiv-incidence,linkage-to-hiv-care,tuberculosis,varicella,chlamydia,gonorrhea,hiv-prevalence,pertussis,syphilis,have-a-disability,overall-health-status,non-fatal-shootings,sexual-assault,serious-traffic-crash-injuries
irving-park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3,,1.3,20.13502,,8.7,,85.7142857142857,,,,,,,,9.7,,,,
jefferson-park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,,1.4,19.22774,,9.7,,,,,,,,,,10.3,,,,
kenwood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,3.5,19.43005,,13.5,,,,,,,,,,10.5,,,,
lake-view,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,,1.2,19.13831,,9.6,,85.4166666666667,,,,,,,,5.6,,,,
lincoln-park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,18.31353,,9.2,,,,,,,,,,4.7,,,,
lincoln-square,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,,1.5,21.69118,,9.7,,,,,,,,,,7.9,,,,
logan-square,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,,1.2,18.15149,,8.6,,94.1176470588235,,,,,,,,6.6,,,,
loop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,,1.5,23.25432,,8.4,,100.0,,,,,,,,4.1,,,,
lower-west-side,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,,1.2,16.56205,,9.8,,100.0,,,,,,,,8.1,,,,
mckinley-park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,18.66126,,8.0,,,,,,,,,,11.0,,,,
montclare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,,1.5,20.65379,,10.6,,,,,,,,,,12.4,,,,
morgan-park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,,2.5,23.15011,,13.6,,85.7142857142857,,,,,,,,13.6,,,,
mount-greenwood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,0.8,25.43353,,8.8,,0.0,,,,,,,,8.3,,,,
near-north-side,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,,1.5,22.3643,,10.5,,83.3333333333333,,,,,,,,7.1,,,,
near-south-side,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9,,1.9,22.4537,,10.5,,,,,,,,,,7.1,,,,
near-west-side,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6,,1.6,22.48768,,10.4,,57.8947368421053,,,,,,,,8.0,,,,
new-city,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,,2.2,17.07707,,11.4,,85.7142857142857,,,,,,,,10.0,,,,
north-center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,0.9,18.06931,,8.5,,100.0,,,,,,,,5.5,,,,
north-lawndale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4,,3.4,16.61303,,13.8,,64.7058823529412,,,,,,,,16.5,,,,
north-park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,,1.4,16.57143,,8.5,,0.0,,,,,,,,12.5,,,,
norwood-park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,0.8,23.13167,,10.0,,,,,,,,,,12.1,,,,
oakland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,,2.2,22.10526,,12.8,,,,,,,,,,15.5,,,,
ohare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,,1.5,22.74775,,7.4,,0.0,,,,,,,,7.8,,,,
portage-park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,,1.2,19.87812,,8.8,,87.5,,,,,,,,9.3,,,,
pullman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,3.0,21.42857,,13.7,,,,,,,,,,15.8,,,,
riverdale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3,,3.3,17.75701,,13.6,,,,,,,,,,9.2,,,,
rogers-park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,,1.5,20.2629,,10.2,,85.3658536585366,,,,,,,,10.6,,,,
roseland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9,,2.9,21.73211,,13.2,,66.6666666666667,,,,,,,,17.5,,,,
south-chicago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9,,2.9,17.33639,,11.9,,84.2105263157895,,,,,,,,15.9,,,,
south-deering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6,,2.6,16.95332,,13.5,,,,,,,,,,15.1,,,,
