location,opioid-overdose,suicide,drug-overdose-deaths,drug-induced-deaths,chronic-liver-disease-and-cirrhosis-deaths,alcohol-induced-deaths,opioid-related-overdose-deaths,cancer-deaths,lung-cancer-deaths,heart-disease-deaths,diabetes-deaths,coronary-heart-disease-deaths,colorectal-cancer-deaths,chronic-lower-respiratory-disease-deaths,alzheimers-disease-deaths,female-breast-cancer-deaths,diet-related-deaths,stroke-deaths,tobacco-related-deaths,prostate-cancer-deaths,nephritis-nephrotic-syndrome-and-nephrosis-deaths,cervical-cancer-deaths,traffic-crash-fatalities,firearm-related-homicides-by-injury-location,motor-vehicle-crash-deaths,injury-deaths,homicides,firearm-related-homicides,accidents,infant-mortality,influenza-and-pneumonia-deaths,years-of-potential-life-lost-(ypll),life-expectancy
forest-glen,,9.7,7.6,7.6,6.5,2.2,,197.8,42.1,208.6,23.8,114.5,23.8,32.4,25.9,18.8,320.9,49.7,253.9,10.8,11.9,0.0,,,7.6,35.7,1.1,0.0,24.9,6.2,16.2,3674.0,
fuller-park,,7.0,20.9,20.9,0.0,7.0,,410.3,111.3,521.6,48.7,312.9,41.7,55.6,13.9,121.2,806.7,83.4,479.8,27.8,13.9,13.5,,,13.9,111.3,48.7,34.8,55.6,13.6,48.7,18158.0,
gage-park,,7.0,6.5,6.5,9.0,5.0,,78.2,12.0,80.2,10.5,49.1,8.5,12.5,6.5,15.5,129.8,13.5,90.2,7.0,9.5,3.1,,,10.5,40.6,12.5,10.5,21.1,6.4,5.0,5289.0,
garfield-ridge,,12.2,13.3,14.5,10.4,5.2,,235.3,61.4,277.6,23.2,175.0,23.2,47.5,25.5,38.4,417.2,55.1,318.1,13.3,14.5,3.4,,,4.1,51.6,7.5,4.6,30.1,7.1,26.7,7271.0,
grand-boulevard,,4.6,11.9,14.6,14.6,9.1,,232.6,73.9,301.0,31.9,145.9,24.6,29.2,9.1,48.1,460.6,62.9,315.6,9.1,21.9,4.8,,,9.1,73.0,32.8,24.6,32.8,13.2,17.3,13011.0,
greater-grand-crossing,,6.7,15.9,16.6,14.7,4.3,15.3,273.0,75.5,310.4,33.1,163.8,31.3,34.4,27.6,50.4,496.9,66.3,338.0,15.3,40.5,7.7,,,6.1,97.5,52.8,44.2,36.2,14.0,21.5,15798.0,
hegewisch,,4.2,8.5,8.5,21.2,17.0,,273.7,76.4,235.5,36.1,120.9,23.3,61.5,21.2,55.0,373.4,40.3,360.7,4.2,31.8,8.5,,,8.5,48.8,8.5,4.2,33.9,3.6,17.0,7849.0,
hermosa,,3.2,9.6,10.4,11.2,10.4,,80.8,17.6,79.2,13.6,50.4,7.2,9.6,1.6,12.9,140.7,20.0,100.0,0.8,11.2,3.2,,,10.2,35.2,9.6,5.6,20.8,6.3,12.8,5314.0,
humboldt-park,,4.6,22.4,23.1,8.5,5.0,46.2,134.6,32.0,146.3,21.7,84.9,9.2,16.3,4.3,15.1,238.6,25.9,163.0,7.8,19.9,6.2,,,8.1,68.9,25.2,22.7,38.4,9.7,11.4,9896.0,
hyde-park,,7.0,6.2,7.0,5.5,3.9,,155.0,27.3,146.4,8.6,81.0,15.6,20.2,16.4,19.3,227.4,24.1,172.9,12.5,14.0,0.0,,,1.6,38.2,6.2,5.5,24.9,10.0,14.0,4829.0,
